Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min),Distance
INDORES13DEL02,37,4.9,Snack ,motorcycle ,24,3.025
BANGRES18DEL02,34,4.5,Snack ,scooter ,33,20.184
BANGRES19DEL01,23,4.4,Drinks ,motorcycle ,26,1.553
COIMBRES13DEL02,38,4.7,Buffet ,motorcycle ,21,7.79
CHENRES12DEL01,32,4.6,Snack ,scooter ,30,6.21
HYDRES09DEL03,22,4.8,Buffet ,motorcycle ,26,4.61
RANCHIRES15DEL01,33,4.7,Meal ,scooter ,40,16.6
MYSRES15DEL02,35,4.6,Meal ,motorcycle ,32,20.205
HYDRES05DEL02,22,4.8,Buffet ,motorcycle ,34,19.976
DEHRES17DEL01,36,4.2,Snack ,motorcycle ,46,10.281
KOCRES16DEL01,21,4.7,Meal ,motorcycle ,23,6.242
PUNERES13DEL03,23,4.7,Drinks ,scooter ,21,13.788
LUDHRES15DEL02,34,4.3,Buffet ,motorcycle ,20,2.93
KNPRES14DEL02,24,4.7,Snack ,scooter ,41,19.397
MUMRES15DEL03,29,4.5,Buffet ,electric_scooter ,20,13.764
MYSRES01DEL01,35,4,Meal ,scooter ,33,6.218
PUNERES20DEL01,33,4.2,Snack ,motorcycle ,40,16.85
HYDRES14DEL01,34,4.9,Snack ,motorcycle ,41,10.757
KOLRES15DEL03,21,4.7,Meal ,motorcycle ,15,4.541
PUNERES19DEL02,25,4.1,Snack ,motorcycle ,36,12.256
RANCHIRES06DEL02,31,4.7,Meal ,electric_scooter ,26,19.619
COIMBRES13DEL01,37,5,Snack ,motorcycle ,20,1.558
CHENRES19DEL02,33,4.3,Meal ,scooter ,39,20.181
MUMRES02DEL01,25,4,Buffet ,motorcycle ,34,6.117
CHENRES01DEL01,29,4.5,Meal ,electric_scooter ,15,17.076
JAPRES16DEL03,27,5,Snack ,motorcycle ,18,4.47
SURRES15DEL03,35,4.3,Drinks ,scooter ,38,13.682
BANGRES09DEL03,32,4,Buffet ,motorcycle ,47,13.973
PUNERES04DEL01,23,4.8,Buffet ,electric_scooter ,12,16.854
COIMBRES02DEL03,31,4.8,Drinks ,motorcycle ,26,4.674
SURRES16DEL02,36,4.1,Drinks ,motorcycle ,22,7.602
GOARES15DEL02,26,4.3,Buffet ,motorcycle ,21,7.72
GOARES07DEL01,38,4.9,Drinks ,scooter ,25,6.176
RANCHIRES02DEL01,32,3.5,Snack ,scooter ,35,17.298
PUNERES19DEL02,32,4.6,Drinks ,scooter ,30,19.915
PUNERES02DEL01,33,4.9,Snack ,motorcycle ,22,10.725
PUNERES18DEL01,20,4.7,Snack ,scooter ,10,6.128
SURRES08DEL01,20,4.8,Meal ,scooter ,19,1.52
HYDRES17DEL02,35,5,Snack ,scooter ,11,3.073
BANGRES17DEL02,26,4.9,Buffet ,scooter ,11,3.105
BANGRES17DEL01,22,4.8,Snack ,motorcycle ,28,10.867
CHENRES11DEL01,35,4.3,Snack ,motorcycle ,33,10.865
MUMRES17DEL02,29,4.6,Drinks ,scooter ,33,12.237
SURRES17DEL03,37,4.7,Snack ,motorcycle ,52,13.683
MUMRES07DEL01,28,4.6,Snack ,scooter ,22,16.826
KOLRES16DEL02,37,4.9,Snack ,scooter ,16,3.027
MUMRES02DEL03,23,4.9,Drinks ,electric_scooter ,11,9.175
BANGRES05DEL03,27,4.9,Drinks ,scooter ,25,9.315
CHENRES11DEL01,37,4.8,Drinks ,motorcycle ,26,6.209
SURRES09DEL01,33,5,Snack ,scooter ,18,1.52
RANCHIRES15DEL01,31,4.9,Snack ,motorcycle ,16,6.037
BANGRES19DEL01,31,4.8,Drinks ,scooter ,23,17.079
AURGRES20DEL03,25,5,Snack ,motorcycle ,15,4.718
COIMBRES14DEL02,28,4.8,Drinks ,motorcycle ,36,12.464
SURRES08DEL03,31,4.7,Snack ,motorcycle ,16,9.121
COIMBRES07DEL03,24,4.7,Buffet ,motorcycle ,19,14.023
AGRRES12DEL03,39,4.6,Snack ,motorcycle ,27,13.393
VADRES02DEL02,39,4.2,Snack ,scooter ,49,12.58
JAPRES14DEL01,32,4.5,Buffet ,scooter ,20,1.49
VADRES04DEL03,36,4.7,Snack ,motorcycle ,30,9.435
JAPRES18DEL02,25,4.8,Drinks ,scooter ,18,11.917
MYSRES04DEL03,33,4.9,Drinks ,scooter ,22,4.664
SURRES12DEL01,30,4.4,Drinks ,scooter ,34,10.641
MUMRES04DEL01,33,5,Buffet ,motorcycle ,24,16.818
PUNERES02DEL01,36,4.9,Drinks ,scooter ,17,6.129
ALHRES07DEL02,21,4.8,Meal ,electric_scooter ,14,2.996
DEHRES19DEL02,39,4.9,Meal ,motorcycle ,30,7.342
VADRES16DEL02,23,4.8,Meal ,scooter ,15,3.145
VADRES09DEL01,35,4.8,Buffet ,scooter ,16,6.29
CHENRES12DEL03,39,4.6,Snack ,scooter ,36,13.972
SURRES11DEL01,22,4.7,Buffet ,scooter ,18,6.081
SURRES01DEL01,32,4.6,Meal ,scooter ,17,6.081
VADRES15DEL02,24,4.8,Buffet ,motorcycle ,15,12.58
MYSRES14DEL02,29,4.7,Buffet ,motorcycle ,17,3.145
BANGRES13DEL01,29,4.6,Drinks ,scooter ,19,6.211
HYDRES13DEL03,26,4.7,Buffet ,motorcycle ,10,9.22
BHPRES12DEL02,20,4.5,Drinks ,motorcycle ,27,7.863
CHENRES11DEL03,35,4.1,Buffet ,motorcycle ,37,13.97
BANGRES010DEL03,39,4.6,Drinks ,scooter ,44,13.973
VADRES20DEL01,34,4.7,Drinks ,electric_scooter ,28,6.059
BANGRES11DEL01,27,4.7,Snack ,scooter ,42,17.078
DEHRES01DEL01,30,4.8,Snack ,motorcycle ,25,17.298
CHENRES02DEL01,25,4.4,Snack ,scooter ,39,17.073
MUMRES04DEL01,25,4.7,Meal ,motorcycle ,20,16.818
JAPRES03DEL02,30,5,Buffet ,motorcycle ,31,2.98
HYDRES04DEL03,24,4.6,Buffet ,motorcycle ,13,9.221
PUNERES14DEL02,39,4.8,Meal ,motorcycle ,28,7.661
GOARES04DEL01,25,4.8,Snack ,scooter ,19,6.176
AURGRES08DEL02,37,4.6,Buffet ,motorcycle ,42,12.21
BANGRES12DEL01,24,5,Drinks ,motorcycle ,23,1.553
HYDRES05DEL01,25,4.2,Meal ,motorcycle ,39,16.903
RANCHIRES17DEL01,32,4.6,Drinks ,motorcycle ,25,1.509
AGRRES010DEL01,34,4.7,Drinks ,scooter ,15,6048.631
INDORES12DEL02,38,4.9,Drinks ,scooter ,15,3.025
JAPRES15DEL03,36,4.8,Buffet ,electric_scooter ,15,13.407
SURRES16DEL01,25,5,Meal ,motorcycle ,15,16.722
MYSRES16DEL02,29,5,Drinks ,motorcycle ,18,7.772
MUMRES05DEL03,36,4.7,Drinks ,electric_scooter ,29,13.774
COIMBRES19DEL02,33,4.7,Snack ,motorcycle ,20,7.79
MYSRES07DEL01,36,4.4,Meal ,scooter ,39,6.218
PUNERES17DEL01,21,4.8,Snack ,motorcycle ,19,16.853
HYDRES19DEL03,25,4.8,Snack ,scooter ,19,4.61
MUMRES14DEL02,23,4.8,Meal ,motorcycle ,17,19.88
COIMBRES02DEL01,25,4.6,Snack ,motorcycle ,15,1.558
INDORES05DEL02,24,4.3,Meal ,motorcycle ,19,3.025
BANGRES03DEL03,27,4.6,Buffet ,motorcycle ,29,13.972
MUMRES11DEL01,23,4.8,Snack ,scooter ,22,16.831
MYSRES12DEL02,21,4.3,Drinks ,scooter ,42,20.208
SURRES09DEL02,27,4.7,Snack ,scooter ,12,3.041
COIMBRES12DEL02,32,4.2,Snack ,motorcycle ,38,20.254
SURRES08DEL01,25,4.6,Drinks ,motorcycle ,23,16.721
KNPRES05DEL02,39,4.7,Meal ,scooter ,15,2.985
SURRES05DEL02,27,4.6,Snack ,motorcycle ,24,12.161
MUMRES15DEL01,39,3.8,Drinks ,motorcycle ,37,16.822
BANGRES15DEL02,31,4.8,Snack ,scooter ,24,7.763
RANCHIRES11DEL03,31,4.8,Buffet ,electric_scooter ,13,9.056
MYSRES08DEL01,20,4.8,Drinks ,motorcycle ,16,1.555
RANCHIRES07DEL02,36,4.9,Drinks ,motorcycle ,42,12.074
RANCHIRES01DEL03,20,4.9,Meal ,motorcycle ,17,13.58
JAPRES17DEL03,24,4.6,Drinks ,motorcycle ,25,4.47
VADRES06DEL01,29,4.6,Snack ,electric_scooter ,25,16.66
